mean	median	max
287.62992125984255	45.0	11273.0
171.16504854368932	31.0	4799.0
176.53982300884957	29.0	2631.0
203.43820224719101	27.0	6078.0
120.9578947368421	22.0	2726.0
111.14285714285714	32.0	995.0
277.7920792079208	23.0	6508.0
142.93203883495147	36.0	2006.0
115.24778761061947	32.0	1811.0
123.50515463917526	24.0	2358.0
117.49152542372882	32.0	1525.0
146.0	24.0	3620.0
102.95283018867924	32.5	995.0
84.35	19.0	737.0
85.0	18.5	1631.0
187.13636363636363	29.5	2701.0
130.21428571428572	23.5	3366.0
206.74074074074073	32.0	5061.0
386.980198019802	20.0	27389.0
102.0091743119266	27.0	1884.0
114.2090909090909	26.0	1789.0
136.84466019417476	32.0	1525.0
184.19607843137254	19.5	7329.0
223.25	30.0	2701.0
385.3235294117647	31.0	27389.0
237.77	49.0	7329.0
161.60747663551402	33.0	4212.0
135.33333333333334	33.0	2631.0
104.85227272727273	35.0	1219.0
144.45263157894738	27.0	4212.0
121.38655462184875	31.0	1579.0
199.2429906542056	43.0	6078.0
139.70526315789473	31.0	2109.0
203.48275862068965	29.0	6508.0
114.70833333333333	31.0	1134.0
141.05172413793105	26.0	4212.0
83.6063829787234	33.5	1080.0
153.76237623762376	29.0	2374.0
95.55652173913043	33.0	794.0
175.77358490566039	20.5	6508.0
106.76635514018692	32.0	1283.0
77.14018691588785	27.0	713.0
107.89473684210526	25.0	1256.0
367.9504950495049	43.0	21563.0
137.7560975609756	25.5	3453.0
127.21296296296296	31.0	1579.0
146.09876543209876	37.0	3620.0
158.9387755102041	19.5	6283.0
119.41414141414141	30.0	2726.0
93.66326530612245	33.5	1219.0
190.47619047619048	29.0	4212.0
83.66315789473684	28.0	926.0
156.1596638655462	22.0	6930.0
131.55339805825244	32.0	2374.0
275.0612244897959	26.5	5379.0
93.91666666666667	25.0	926.0
297.8252427184466	26.0	21563.0
111.34375	31.5	1252.0
131.66	40.0	1134.0
92.67676767676768	27.0	1539.0
172.82608695652175	15.5	6930.0
76.29126213592232	23.0	2006.0
392.3191489361702	35.5	27389.0
355.2647058823529	26.0	27389.0
163.11111111111111	33.5	5061.0
78.55963302752293	33.0	568.0
197.5257731958763	30.0	6930.0
126.19354838709677	45.0	1390.0
374.3085106382979	30.0	27389.0
87.9090909090909	31.0	868.0
158.858407079646	26.0	3453.0
159.21153846153845	33.5	3366.0
148.1809523809524	30.0	2701.0
420.3777777777778	35.0	27389.0
452.4594594594595	31.0	21563.0
125.75	26.5	1789.0
84.34285714285714	32.0	1961.0
209.36559139784947	39.0	7329.0
248.3921568627451	26.5	11273.0
84.75247524752476	33.0	884.0
173.88235294117646	22.0	4212.0
76.6078431372549	26.5	794.0
187.79646017699116	35.0	2358.0
196.9298245614035	24.0	6930.0
376.578431372549	31.0	27389.0
55.35294117647059	18.0	403.0
147.16504854368932	30.0	3366.0
123.5	17.5	2374.0
156.69724770642202	29.0	5061.0
152.07608695652175	36.5	4205.0
92.43434343434343	38.0	1219.0
145.70434782608694	32.0	2631.0
154.63636363636363	42.0	1789.0
150.67391304347825	34.5	3620.0
87.16964285714286	23.5	1080.0
96.42241379310344	36.0	1390.0
175.03669724770643	30.0	1789.0
80.74285714285715	20.0	1499.0
97.85714285714286	28.0	1311.0
172.14285714285714	24.0	6930.0
196.0	35.0	6508.0
126.5673076923077	29.5	5061.0
90.82608695652173	25.0	1241.0
96.91509433962264	24.5	1219.0
76.26041666666667	28.0	761.0
151.25384615384615	32.0	1789.0
212.0185185185185	41.0	4799.0
90.31132075471699	32.0	1273.0
137.7	29.5	1219.0
140.0	30.5	5061.0
118.30526315789474	33.0	3620.0
148.30769230769232	36.0	2631.0
98.50561797752809	29.0	1540.0
132.7872340425532	31.0	1134.0
145.03883495145632	26.0	1689.0
116.73076923076923	30.5	1524.0
132.8125	36.0	2631.0
260.7042253521127	46.0	21563.0
154.66037735849056	28.0	6930.0
116.3173076923077	33.5	1311.0
124.7128712871287	29.0	1524.0
118.47008547008546	39.0	794.0
175.42156862745097	31.0	4799.0
83.57281553398059	26.0	713.0
134.49462365591398	36.0	1273.0
343.54716981132077	29.0	21563.0
419.84615384615387	48.0	27389.0
86.27472527472527	22.0	1252.0
207.61818181818182	48.0	6930.0
84.66071428571429	27.0	926.0
159.88392857142858	20.0	6930.0
185.40816326530611	29.0	6078.0
140.27619047619046	27.0	5061.0
123.96491228070175	31.0	1961.0
409.4949494949495	35.0	27389.0
162.70093457943926	32.0	6283.0
191.4695652173913	43.0	6078.0
88.77173913043478	27.5	947.0
119.24489795918367	33.0	2006.0
138.2159090909091	36.5	2701.0
166.46315789473684	34.0	6930.0
156.2	31.0	4205.0
117.45370370370371	41.5	1095.0
75.89108910891089	31.0	1095.0
136.6209677419355	29.0	2726.0
149.08	35.5	2726.0
134.13888888888889	30.5	6078.0
106.22222222222223	31.0	1252.0
192.79207920792078	34.0	6930.0
160.62616822429908	31.0	1961.0
111.4695652173913	33.0	1219.0
361.72093023255815	36.5	21459.0
132.83	28.0	1789.0
113.75	26.0	2374.0
148.72916666666666	31.5	6508.0
186.8426966292135	25.0	6508.0
155.95454545454547	42.0	1524.0
193.76	49.0	6930.0
490.4022988505747	20.0	27389.0
145.8876404494382	32.0	2374.0
143.92660550458714	31.0	2006.0
126.8921568627451	41.5	1234.0
329.5132743362832	25.0	21563.0
130.6326530612245	23.0	2374.0
103.33673469387755	20.5	1579.0
98.62244897959184	36.5	1256.0
282.367816091954	40.0	6508.0
181.82407407407408	28.5	6283.0
103.77966101694915	21.5	1689.0
230.98979591836735	30.0	6930.0
149.14814814814815	33.0	3620.0
70.43333333333334	22.0	1256.0
336.3142857142857	36.0	21563.0
74.45454545454545	26.0	372.0
108.76923076923077	32.0	1311.0
125.04545454545455	25.5	2358.0
141.79674796747966	26.0	6078.0
145.21	31.0	2374.0
128.5505617977528	45.0	1150.0
92.62857142857143	46.0	900.0
138.62745098039215	23.0	1961.0
146.46491228070175	33.0	3366.0
145.15151515151516	38.0	1631.0
169.95049504950495	38.0	3620.0
212.9181818181818	36.5	6930.0
211.51111111111112	23.0	6078.0
107.4639175257732	22.0	1524.0
199.77777777777777	32.0	3620.0
163.53398058252426	35.0	2631.0
81.72340425531915	16.5	1524.0
381.90625	29.5	21563.0
183.10638297872342	20.0	6283.0
101.95370370370371	29.5	1884.0
98.3529411764706	22.5	1631.0
153.26027397260273	45.0	2358.0
113.55681818181819	32.0	1437.0
152.60194174757282	24.0	2631.0
567.3523809523809	36.0	27389.0
507.61538461538464	32.5	27389.0
365.1782178217822	50.0	11273.0
188.19230769230768	35.0	3453.0
305.6	37.5	21459.0
138.19791666666666	32.5	3620.0
111.05555555555556	19.0	2374.0
83.52	20.0	764.0
153.51111111111112	35.5	3620.0
144.48507462686567	44.5	2474.0
85.02857142857142	27.0	1137.0
182.7864077669903	25.0	4205.0
349.77966101694915	35.5	21563.0
296.5258620689655	22.0	21459.0
86.4795918367347	23.5	1089.0
378.4403669724771	27.0	27389.0
136.00877192982455	33.5	2374.0
188.73553719008265	19.0	6078.0
86.50549450549451	22.0	830.0
331.5842696629214	17.0	21459.0
100.98130841121495	30.0	2701.0
181.64077669902912	25.0	6283.0
170.16071428571428	28.5	6078.0
141.75	26.5	6930.0
132.67816091954023	27.0	2701.0
132.0752688172043	22.0	1884.0
95.40178571428571	33.0	1256.0
171.80869565217392	27.0	6078.0
118.70967741935483	24.0	1524.0
175.94444444444446	33.5	2006.0
131.24489795918367	34.5	3366.0
115.25	35.5	1256.0
84.42718446601941	19.0	1256.0
187.30973451327435	28.0	6508.0
361.2121212121212	26.0	27389.0
128.66666666666666	24.0	6078.0
223.24074074074073	25.0	7329.0
106.92660550458716	30.0	1241.0
108.54166666666667	31.5	1524.0
246.02830188679246	38.5	11273.0
146.97142857142856	27.0	3366.0
114.37623762376238	36.0	916.0
89.23711340206185	27.0	1252.0
112.59375	26.5	1524.0
102.109375	27.5	1137.0
144.5486725663717	18.0	6078.0
156.28	50.5	1689.0
218.25225225225225	33.0	6930.0
179.53271028037383	36.0	6078.0
592.8095238095239	34.5	27389.0
201.6235294117647	30.0	6508.0
152.24489795918367	34.0	1789.0
437.2291666666667	28.0	27389.0
136.76859504132233	26.0	1789.0
151.75	26.0	6930.0
109.61386138613861	22.0	3453.0
152.71559633027522	39.0	2631.0
117.22222222222223	24.0	1689.0
71.41836734693878	30.0	568.0
135.78947368421052	26.0	1789.0
118.91588785046729	37.0	1540.0
137.94444444444446	29.5	4799.0
153.3679245283019	31.0	3620.0
217.44444444444446	29.0	6930.0
96.97169811320755	30.5	1390.0
68.06	27.5	780.0
118.37837837837837	24.0	2631.0
96.9126213592233	23.0	3620.0
175.2156862745098	20.5	6930.0
167.42696629213484	30.0	4799.0
131.54782608695652	37.0	2109.0
118.60416666666667	26.0	2701.0
83.98181818181818	20.5	926.0
134.28125	34.5	2374.0
112.36936936936937	33.0	1148.0
169.7159090909091	39.5	4205.0
104.85046728971963	33.0	1631.0
134.93069306930693	30.0	1283.0
63.619565217391305	21.0	1525.0
164.47747747747746	29.0	6078.0
80.33	29.0	947.0
78.6078431372549	21.5	794.0
92.97058823529412	34.0	1961.0
359.95652173913044	19.5	27389.0
364.76146788990826	47.0	21459.0
116.84693877551021	38.0	3620.0
108.63725490196079	38.5	2358.0
153.02325581395348	42.5	2065.0
129.38541666666666	32.5	1811.0
102.36792452830188	32.0	2631.0
131.528	33.0	2726.0
220.06422018348624	23.0	6930.0
95.01869158878505	18.0	1525.0
135.0841121495327	32.0	2631.0
213.59649122807016	36.0	6078.0
310.1764705882353	33.0	21563.0
125.61607142857143	31.0	1811.0
145.26363636363635	42.0	2474.0
192.87878787878788	34.0	6930.0
87.48571428571428	36.0	568.0
402.10526315789474	41.0	27389.0
92.18367346938776	26.5	1241.0
171.45454545454547	32.0	4799.0
295.79047619047617	26.0	21459.0
144.8695652173913	32.0	3453.0
93.60169491525424	31.0	995.0
168.1530612244898	31.5	4212.0
315.78632478632477	46.0	21563.0
135.37391304347827	24.0	1241.0
169.6813186813187	24.0	6508.0
130.44791666666666	31.5	1311.0
184.25	29.0	6283.0
174.5188679245283	29.0	6078.0
199.21495327102804	31.0	1811.0
360.08474576271186	29.5	21563.0
344.67391304347825	23.5	27389.0
104.4	33.0	1219.0
188.92156862745097	30.0	1789.0
87.30909090909091	26.0	1252.0
118.6952380952381	40.0	2474.0
120.5377358490566	32.0	4205.0
127.52212389380531	35.0	2631.0
88.61111111111111	25.0	1137.0
356.57142857142856	41.5	21459.0
317.0169491525424	37.0	21563.0
166.76288659793815	19.0	3453.0
50.34065934065934	20.0	413.0
154.82474226804123	26.0	5061.0
168.29661016949152	28.0	6508.0
642.7777777777778	30.0	27389.0
141.01680672268907	22.0	6283.0
139.3106796116505	17.0	3620.0
115.91525423728814	20.5	2701.0
123.01680672268908	27.0	1283.0
165.05263157894737	31.0	2701.0
459.30526315789473	33.0	21563.0
127.45918367346938	40.0	2374.0
123.20833333333333	40.0	2631.0
151.9537037037037	26.5	1789.0
76.55652173913043	19.0	1252.0
166.10236220472441	39.0	6078.0
115.24468085106383	20.0	3453.0
397.08045977011494	48.0	21563.0
132.57142857142858	26.0	1789.0
171.83809523809524	21.0	6930.0
143.14285714285714	18.0	6930.0
161.348623853211	23.0	6930.0
123.5909090909091	31.5	2701.0
133.35051546391753	26.0	1539.0
84.97029702970298	31.0	1106.0
107.76388888888889	19.0	1080.0
163.83636363636364	25.0	1789.0
73.70192307692308	24.0	628.0
155.38888888888889	35.0	2631.0
109.61458333333333	23.5	1311.0
147.76	20.0	1789.0
142.23584905660377	22.0	1961.0
66.76344086021506	26.0	795.0
250.23809523809524	44.0	6508.0
161.91509433962264	37.0	2631.0
88.25925925925925	32.5	1148.0
443.15315315315314	26.0	27389.0
96.848	22.0	838.0
156.7173913043478	21.0	6078.0
118.26415094339623	29.5	1811.0
161.58	50.0	1539.0
74.94623655913979	17.0	1525.0
128.46067415730337	29.0	4205.0
77.83962264150944	25.0	1256.0
158.7	24.5	6930.0
154.6701030927835	18.0	3366.0
136.5	39.5	2474.0
90.61344537815125	28.0	2109.0
135.79807692307693	42.0	1241.0
99.42696629213484	16.0	1273.0
95.97029702970298	34.0	1080.0
185.4747474747475	24.0	6930.0
85.76190476190476	33.0	737.0
165.84761904761905	27.0	6930.0
121.58119658119658	35.0	1221.0
190.42735042735043	40.0	3453.0
150.21212121212122	36.0	2631.0
71.23232323232324	21.0	830.0
158.4065934065934	24.0	4799.0
121.40816326530613	26.0	1689.0
136.06034482758622	32.5	3620.0
100.82857142857142	20.0	1221.0
139.28155339805826	32.0	2631.0
75.75	27.5	947.0
114.66956521739131	34.0	1256.0
140.1891891891892	30.0	1789.0
182.87037037037038	46.0	4799.0
123.41121495327103	33.0	1631.0
219.45833333333334	16.5	11273.0
81.59349593495935	25.0	1525.0
151.01941747572815	36.0	4205.0
108.58415841584159	27.0	1579.0
121.04494382022472	31.0	2701.0
154.63855421686748	24.0	6078.0
86.08333333333333	27.0	884.0
162.55769230769232	35.0	1665.0
142.91397849462365	36.0	4799.0
198.38938053097345	29.0	6508.0
170.22222222222223	37.0	6930.0
109.05	29.0	3620.0
331.6909090909091	38.0	21563.0
91.26415094339623	24.5	826.0
151.35714285714286	34.0	1961.0
165.51260504201682	41.0	1884.0
112.8921568627451	28.5	1150.0
205.42	24.5	6508.0
94.50925925925925	27.0	1221.0
193.3838383838384	29.0	6508.0
303.57575757575756	31.0	21459.0
74.78787878787878	29.0	1234.0
123.55357142857143	34.0	2631.0
82.6701030927835	26.0	1524.0
84.57943925233644	27.0	837.0
236.1076923076923	30.5	6508.0
107.3157894736842	29.0	1437.0
99.34736842105264	27.0	2065.0
110.04301075268818	19.0	1499.0
137.65454545454546	31.0	2109.0
111.18085106382979	35.0	1219.0
158.45794392523365	31.0	3620.0
136.24489795918367	39.0	1961.0
131.67592592592592	31.5	1811.0
120.62727272727273	22.0	1539.0
136.900826446281	43.0	1540.0
143.10714285714286	29.0	1789.0
121.1900826446281	27.0	4205.0
186.78991596638656	32.0	2701.0
88.62886597938144	20.0	991.0
121.29245283018868	28.0	4212.0
116.04587155963303	31.0	1219.0
329.3296703296703	24.0	21563.0
410.63440860215053	33.0	27389.0
417.679012345679	27.0	27389.0
207.42307692307693	33.0	6930.0
374.57471264367814	36.0	21459.0
103.01739130434783	27.0	1089.0
139.72115384615384	41.0	2065.0
89.29896907216495	27.0	2474.0
172.4747474747475	32.0	4799.0
85.84705882352941	25.0	838.0
200.59649122807016	29.0	6508.0
134.30612244897958	21.0	2631.0
164.79310344827587	45.0	1524.0
162.2972972972973	25.0	5061.0
141.66336633663366	28.0	1789.0
94.54736842105264	30.0	991.0
178.74468085106383	26.0	6930.0
89.4957264957265	27.0	1098.0
106.32	31.0	1390.0
121.78947368421052	29.5	3453.0
318.51612903225805	36.0	21563.0
244.61052631578949	33.0	11273.0
93.6304347826087	31.5	934.0
150.58677685950414	22.0	5379.0
317.8818181818182	31.5	21563.0
68.31343283582089	15.0	737.0
93.37113402061856	35.0	995.0
253.01030927835052	37.0	11273.0
81.85436893203884	31.0	794.0
120.12121212121212	32.0	3620.0
680.4752475247525	35.0	27389.0
220.1346153846154	19.0	7329.0
136.93103448275863	21.0	2726.0
189.8901098901099	24.0	6283.0
157.80373831775702	38.0	1961.0
88.44036697247707	25.0	1219.0
400.2920353982301	26.0	27389.0
124.02521008403362	39.0	1252.0
117.33944954128441	29.0	916.0
134.68269230769232	32.5	4205.0
137.22105263157894	21.0	6930.0
171.1909090909091	29.0	1789.0
393.55172413793105	42.5	27389.0
216.98876404494382	33.0	6930.0
128.018018018018	42.0	1256.0
99.29166666666667	33.5	1234.0
155.57843137254903	51.0	1234.0
85.93137254901961	26.0	1252.0
165.10434782608695	23.0	2358.0
365.38235294117646	19.0	27389.0
137.6060606060606	26.0	1789.0
343.17525773195877	31.0	21459.0
90.6236559139785	24.0	916.0
326.2323232323232	52.0	21459.0
144.02	22.0	1789.0
191.19607843137254	28.0	6078.0
113.5	33.5	1689.0
97.57692307692308	26.5	1579.0
185.7981651376147	35.0	3620.0
160.7058823529412	30.5	6508.0
92.6938775510204	32.5	1689.0
357.5233644859813	28.0	21459.0
158.12820512820514	36.0	5061.0
165.62727272727273	20.0	6930.0
192.9298245614035	35.5	6078.0
91.68932038834951	33.0	1219.0
105.88764044943821	24.0	1961.0
194.06422018348624	25.0	6930.0
117.79464285714286	33.5	1134.0
168.77450980392157	28.0	4799.0
150.16666666666666	25.5	6283.0
105.09009009009009	35.0	2474.0
165.9433962264151	37.0	2631.0
220.9327731092437	40.0	4205.0
89.54347826086956	25.5	1234.0
158.99122807017545	35.0	6930.0
106.01	25.0	1499.0
63.76842105263158	17.0	1106.0
104.69318181818181	19.5	1665.0
146.23300970873785	22.0	4212.0
126.01923076923077	31.5	2631.0
161.59848484848484	29.5	1884.0
164.1891891891892	48.0	4212.0
100.52884615384616	24.0	1256.0
164.50892857142858	27.0	6508.0
210.75471698113208	36.0	6078.0
115.95294117647059	30.0	1524.0
82.38709677419355	22.0	947.0
270.0121951219512	27.5	11273.0
118.69724770642202	25.0	2726.0
136.01941747572815	34.0	5061.0
135.43859649122808	29.0	4205.0
166.62376237623764	31.0	6930.0
109.81111111111112	38.0	1256.0
166.8640776699029	21.0	5379.0
105.23333333333333	32.5	1256.0
159.52252252252254	40.0	1789.0
133.5187969924812	35.0	5061.0
125.41176470588235	27.0	2109.0
194.8877551020408	32.5	6508.0
135.38181818181818	31.5	1665.0
391.17021276595744	29.0	27389.0
135.1685393258427	18.0	4212.0
156.16346153846155	26.0	5061.0
160.18627450980392	33.5	1525.0
129.0842105263158	31.0	1961.0
130.2608695652174	24.0	2631.0
374.7307692307692	25.0	27389.0
172.03809523809525	26.0	6508.0
294.77570093457945	22.0	21459.0
357.8349514563107	34.0	27389.0
186.85384615384615	22.0	6508.0
105.16037735849056	33.0	1219.0
107.00833333333334	20.0	1525.0
165.74311926605503	24.0	2474.0
359.9059829059829	33.0	21459.0
73.87037037037037	22.0	991.0
83.76923076923077	28.0	1080.0
114.89772727272727	20.5	3453.0
117.60833333333333	43.5	2631.0
90.95283018867924	20.0	1525.0
92.30208333333333	28.5	1252.0
110.63636363636364	19.5	1390.0
80.50485436893204	28.0	1150.0
134.44954128440367	35.0	2474.0
142.08333333333334	25.5	1789.0
80.50961538461539	30.5	830.0
147.3008130081301	27.0	2006.0
197.18691588785046	27.0	6930.0
134.9158878504673	30.0	1524.0
134.0215053763441	22.0	1665.0
122.69090909090909	34.5	1148.0
175.0990099009901	33.0	6508.0
109.8409090909091	20.0	3366.0
191.54945054945054	30.0	4212.0
214.66666666666666	32.5	4799.0
127.72727272727273	22.0	2726.0
395.8131868131868	26.0	21459.0
102.9245283018868	24.0	1844.0
75.61320754716981	20.0	995.0
92.71134020618557	37.0	795.0
104.93333333333334	30.5	1524.0
347.19	32.5	21459.0
154.69072164948454	33.0	1390.0
129.4351851851852	20.0	1811.0
114.27642276422765	34.0	1080.0
249.96396396396398	35.0	11273.0
385.92134831460675	44.0	21459.0
194.53246753246754	22.0	5379.0
131.30927835051546	41.0	2701.0
184.97029702970298	23.0	6930.0
73.38202247191012	19.0	826.0
64.67567567567568	16.0	737.0
197.45871559633028	44.0	4799.0
98.31372549019608	25.0	1137.0
343.71287128712873	28.0	21459.0
98.49565217391304	20.0	1631.0
122.9578947368421	18.0	3366.0
239.89523809523808	24.0	6930.0
149.24545454545455	25.0	3366.0
107.31746031746032	41.5	1134.0
91.15384615384616	24.0	1252.0
71.77669902912622	37.0	711.0
108.97457627118644	34.0	1844.0
89.58407079646018	29.0	1525.0
102.51401869158879	33.0	1256.0
102.42241379310344	26.5	1524.0
83.35643564356435	32.0	713.0
64.48514851485149	16.0	555.0
93.97520661157024	24.0	1219.0
66.17708333333333	27.5	826.0
88.32	33.5	991.0
95.62962962962963	37.0	1148.0
182.8125	38.0	2631.0
180.67889908256882	32.0	6930.0
83.32758620689656	32.0	884.0
91.5	27.5	1252.0
116.22680412371135	30.0	2631.0
198.67816091954023	25.0	6930.0
164.81632653061226	28.5	7329.0
116.58	25.5	4205.0
118.08888888888889	38.5	1499.0
113.72477064220183	28.0	1524.0
140.9607843137255	28.0	5379.0
92.50515463917526	35.0	2109.0
314.4466019417476	29.0	21563.0
191.2621359223301	46.0	6283.0
212.94444444444446	27.5	6930.0
154.64814814814815	31.0	4205.0
166.27884615384616	25.5	6078.0
105.9	37.0	1241.0
172.0909090909091	16.5	6078.0
134.90721649484536	20.0	3453.0
125.30952380952381	26.0	1524.0
129.04301075268816	24.0	3620.0
150.49579831932772	30.0	6930.0
139.78151260504202	41.0	1241.0
93.44444444444444	16.0	926.0
101.68181818181819	32.0	1234.0
84.0873786407767	28.0	1665.0
86.0	31.0	1524.0
123.25842696629213	20.0	926.0
107.616	24.0	2374.0
156.5148514851485	31.0	6078.0
