mean	median	max
100.664	28.0	1135.0
165.35593220338984	37.5	2450.0
67.84158415841584	20.0	723.0
176.7685185185185	28.5	9074.0
262.29059829059827	25.0	19429.0
73.84297520661157	22.0	805.0
242.07438016528926	32.0	19429.0
79.55371900826447	23.0	1184.0
116.50393700787401	29.0	2386.0
138.6039603960396	28.0	2386.0
92.14179104477611	22.5	1195.0
85.45378151260505	28.0	2386.0
80.34959349593495	25.0	930.0
94.98290598290598	24.0	1399.0
105.5	27.5	1219.0
152.12	27.0	6110.0
79.73015873015873	31.0	1185.0
161.69565217391303	30.0	6110.0
86.12037037037037	21.5	1135.0
83.75221238938053	21.0	1218.0
53.833333333333336	23.0	594.0
125.84210526315789	40.0	2072.0
127.56521739130434	21.0	2072.0
98.088	25.0	2072.0
150.90551181102362	34.0	3057.0
119.24299065420561	24.0	2386.0
124.31404958677686	35.0	2386.0
143.0943396226415	46.5	1307.0
69.36363636363636	23.0	913.0
138.03478260869565	22.0	4495.0
138.2173913043478	17.0	4495.0
125.203007518797	28.0	2450.0
104.42608695652174	25.0	2072.0
98.1981981981982	25.0	1265.0
122.08130081300813	25.0	2425.0
140.83333333333334	25.5	2943.0
98.1732283464567	32.0	2386.0
86.97345132743362	31.0	1271.0
187.5677966101695	26.5	6110.0
161.92307692307693	32.0	5393.0
198.55555555555554	21.5	9074.0
131.04273504273505	41.0	4495.0
103.65178571428571	26.0	1135.0
388.968	26.0	40283.0
126.0672268907563	25.0	6110.0
111.49565217391304	25.0	2072.0
163.40441176470588	42.5	9074.0
166.01739130434783	26.0	2943.0
140.29770992366412	26.0	3057.0
89.84070796460178	33.0	743.0
141.51908396946564	30.0	5393.0
77.09166666666667	22.5	864.0
75.4695652173913	18.0	2386.0
121.26271186440678	24.0	2330.0
152.45045045045046	29.0	4495.0
78.664	20.0	1614.0
419.8671875	26.0	40283.0
101.89344262295081	36.0	1092.0
99.66949152542372	25.0	1326.0
86.20353982300885	35.0	956.0
145.6346153846154	24.5	4250.0
150.46728971962617	22.0	2386.0
144.4375	34.5	1997.0
122.06349206349206	27.5	3057.0
117.38095238095238	25.0	4250.0
105.30081300813008	36.0	2280.0
165.27272727272728	29.5	4495.0
79.23387096774194	23.0	1432.0
175.3271028037383	22.0	6110.0
122.25	27.0	1997.0
100.89516129032258	28.0	2386.0
106.28947368421052	26.0	1432.0
99.5945945945946	26.0	3101.0
90.92660550458716	30.0	951.0
444.008064516129	35.5	40283.0
140.21428571428572	25.0	4495.0
218.11926605504587	40.0	9074.0
90.27692307692308	25.5	2386.0
137.74107142857142	24.5	2377.0
101.64754098360656	33.5	2386.0
100.21428571428571	18.0	2943.0
106.09848484848484	22.0	2386.0
102.32824427480917	24.0	2124.0
130.28676470588235	35.0	2072.0
104.23387096774194	22.0	1255.0
85.77	26.0	951.0
115.53225806451613	24.5	2386.0
84.37	25.5	1326.0
143.3515625	29.0	5393.0
88.55652173913043	35.0	996.0
100.61157024793388	33.0	1326.0
146.71666666666667	34.0	2943.0
70.52272727272727	22.5	930.0
280.51785714285717	35.0	19429.0
115.94117647058823	26.0	2386.0
90.2442748091603	23.0	2284.0
140.8031496062992	32.0	2332.0
107.16346153846153	29.0	1218.0
104.62068965517241	33.5	1406.0
124.7948717948718	30.0	3057.0
155.89285714285714	37.5	2943.0
137.7983870967742	26.0	2425.0
120.60185185185185	23.0	2386.0
86.57281553398059	33.0	680.0
239.32758620689654	33.5	19429.0
88.71969696969697	32.5	2386.0
69.89	29.5	951.0
101.8515625	31.5	2386.0
197.0695652173913	48.0	4489.0
149.62962962962962	30.0	2386.0
